KB,,,엔카,,,편집거리,,,,
,,,,,,,,,,
기아,K7,K7 프리미어 하이브리드,기아,K7,K7 프리미어 하이브리드,K7 프리미어 하이브리드,T,,,
,,,,,,,,,,
기아,K7,올 뉴 K7,기아,K7,올 뉴 K7,올 뉴 K7,T,,,
,,,,,,,,,,
기아,K7,올 뉴 K7 하이브리드,기아,K7,올 뉴 K7 하이브리드,올 뉴 K7 하이브리드,T,,,
,,,,,,,,,,
기아,K7,더 뉴 K7,기아,K7,더 뉴 K7,더 뉴 K7,T,,,
,,,,,,,,,,
기아,K7,K7 하이브리드,기아,K7,K7 하이브리드,K7 하이브리드,T,,,
,,,,,,,,,,
기아,K7,더 프레스티지 K7,기아,K7,더 프레스티지 K7,더 프레스티지 K7,T,,,
,,,,,,,,,,
기아,K7,K7,기아,K7,K7,K7,T,,,
,,,,,,,,,,
기아,스포티지,디 올 뉴 스포티지,기아,스포티지,디 올 뉴 스포티지,더 뉴 스포티지 R,F,디 올 뉴 스포티지,,
,,,,,,,,,,
기아,스포티지,디 올 뉴 스포티지 하이브리드,기아,스포티지,디 올 뉴 스포티지 하이브리드,올 뉴 K7 하이브리드,F,디 올 뉴 스포티지 하이브리드,,
,,,,,,,,,,
기아,스포티지,스포티지 더 볼드,기아,스포티지,스포티지 더 볼드,스포티지 더 볼드,T,,,
,,,,,,,,,,
기아,스포티지,스포티지 4세대,기아,스포티지,스포티지 4세대,스포티지 4세대,T,,,
,,,,,,,,,,
기아,스포티지,더 뉴 스포티지 R,기아,스포티지,더 뉴 스포티지 R,더 뉴 스포티지 R,T,,,
,,,,,,,,,,
기아,스포티지,스포티지 R,기아,스포티지,스포티지 R,스포티지 R,T,,,
,,,,,,,,,,
기아,스포티지,뉴스포티지,기아,스포티지,뉴 스포티지,스포티지,F,뉴 스포티지,,
,,,,,,,,,,
기아,스포티지,스포티지,기아,스포티지,스포티지,스포티지,T,,,
,,,,,,,,,,
기아,스포티지,스포티지밴,기아,스포티지,스포티지,스포티지 R,F,스포티지,,
,,,,,,,,,,
기아,레이,더 뉴 레이,기아,레이,더 뉴 레이,더 뉴 레이,T,,,
,,,,,,,,,,
기아,레이,더 뉴 레이 밴,기아,레이,더 뉴 레이,더 뉴 레이,F,더 뉴 레이,,
,,,,,,,,,,
기아,레이,레이,기아,레이,레이,레이,T,,,
,,,,,,,,,,
기아,레이,레이밴,기아,레이,레이,레이,F,레이,,
,,,,,,,,,,
기아,K3,더 뉴 K3(BD),기아,K3,더 뉴 K3 2세대,더 뉴 K3,F,더 뉴 K3 2세대,,
,,,,,,,,,,
기아,K3,더 뉴 K3 GT(BD),기아,K3,더 뉴 K3 GT 2세대,더 뉴 K3 2세대,F,더 뉴 K3 GT 2세대,,
,,,,,,,,,,
기아,K3,올 뉴 K3,기아,K3,올 뉴 K3,올 뉴 K3,T,,,
,,,,,,,,,,
기아,K3,올 뉴 K3 GT,기아,K3,올 뉴 K3 GT,올 뉴 K3,F,올 뉴 K3 GT,,
,,,,,,,,,,
기아,K3,더 뉴 K3,기아,K3,더 뉴 K3,더 뉴 K3,T,,,
,,,,,,,,,,
기아,K3,더 뉴 K3 유로,기아,K3,더 뉴 K3 유로,더 뉴 K3 유로,T,,,
,,,,,,,,,,
기아,K3,더 뉴 K3 디젤,기아,K3,더 뉴 K3,더 뉴 K3 쿱,F,더 뉴 K3,(KB만 연료로 따로 구분하고 그 외 사이트는 통합되어 있음),
,,,,,,,,,,
기아,K3,K3 쿱,기아,K3,K3 쿱,K3 쿱,T,,,
,,,,,,,,,,
기아,K3,K3 유로,기아,K3,K3 유로,K3 유로,T,,,
,,,,,,,,,,
기아,K3,K3,기아,K3,K3,K3,T,,,
,,,,,,,,,,
기아,K3,K3 디젤,기아,K3,K3,K3 쿱,F,K3,(KB만 연료로 따로 구분하고 그 외 사이트는 통합되어 있음),
,,,,,,,,,,
기아,모하비,모하비 더마스터,기아,모하비,모하비 더 마스터,모하비 더 마스터,T,,,
,,,,,,,,,,
기아,모하비,더 뉴 모하비,기아,모하비,더 뉴 모하비,더 뉴 모하비,T,,,
,,,,,,,,,,
기아,모하비,모하비,기아,모하비,모하비,모하비,T,,,
,,,,,,,,,,
기아,K9,더 뉴 K9(2세대),기아,K9,더 뉴 K9 2세대,더 뉴 K9 2세대,F,더 뉴 K9 2세대,,
,,,,,,,,,,
기아,K9,더 K9,기아,K9,더 K9,더 K9,T,,,
,,,,,,,,,,
기아,K9,더 뉴 K9,기아,K9,더 뉴 K9,더 뉴 K9,T,,,
,,,,,,,,,,
기아,K9,K9,기아,K9,K9,K9,T,,,
,,,,,,,,,,
기아,카렌스,더 뉴 카렌스,기아,카렌스,더 뉴 카렌스,더 뉴 카렌스,T,,,
,,,,,,,,,,
기아,카렌스,올 뉴 카렌스,기아,카렌스,올 뉴 카렌스,올 뉴 카렌스,T,,,
,,,,,,,,,,
기아,카렌스,뉴카렌스,기아,카렌스,뉴카렌스,뉴카렌스,T,,,
,,,,,,,,,,
기아,카렌스,카렌스2,기아,카렌스,카렌스2,카렌스,F,카렌스2,로마자,
,,,,,,,,,,
기아,카렌스,카렌스,기아,카렌스,카렌스,카렌스,T,,,
,,,,,,,,,,
기아,프라이드,더 뉴 프라이드,기아,프라이드,더 뉴 프라이드,더 뉴 프라이드,T,,,
,,,,,,,,,,
기아,프라이드,올 뉴 프라이드,기아,프라이드,올 뉴 프라이드,올 뉴 프라이드,T,,,
,,,,,,,,,,
기아,프라이드,뉴프라이드,기아,프라이드,프라이드(신형),프라이드,F,프라이드(신형),해당 차량은 전부 프라이드로 해야함,
,,,,,,,,,KB만 프라이드를 세분화 시켜둠,
기아,프라이드,프라이드베타,기아,프라이드,프라이드,프라이드,F,프라이드,,
,,,,,,,,,,
기아,프라이드,프라이드밴,기아,프라이드,프라이드,프라이드,F,프라이드,,
,,,,,,,,,,
기아,프라이드,프라이드,기아,프라이드,프라이드,프라이드,T,,,
,,,,,,,,,,
기아,오피러스,오피러스 프리미엄,기아,오피러스,오피러스 프리미엄,오피러스 프리미엄,T,,,
,,,,,,,,,,
기아,오피러스,뉴오피러스,기아,오피러스,뉴오피러스,뉴오피러스,T,,,
,,,,,,,,,,
기아,오피러스,오피러스,기아,오피러스,오피러스,오피러스,T,,,
,,,,,,,,,,
기아,쏘울,쏘울 부스터,기아,쏘울,쏘울 부스터,쏘울 부스터,T,,,
,,,,,,,,,,
기아,쏘울,쏘울 부스터 EV,기아,쏘울,쏘울 부스터 EV,쏘울 부스터 EV,T,,,
,,,,,,,,,,
기아,쏘울,더 뉴 쏘울,기아,쏘울,더 뉴 쏘울,더 뉴 쏘울,T,,,
,,,,,,,,,,
기아,쏘울,쏘울 EV,기아,쏘울,쏘울 EV,쏘울 EV,T,,,
,,,,,,,,,,
기아,쏘울,올 뉴 쏘울,기아,쏘울,올 뉴 쏘울,올 뉴 쏘울,T,,,
,,,,,,,,,,
기아,쏘울,쏘울,기아,쏘울,쏘울,쏘울,T,,,
,,,,,,,,,,
기아,포르테,포르테,기아,포르테,포르테,포르테,T,,,
,,,,,,,,,,
기아,포르테,포르테 쿱,기아,포르테,포르테 쿱,포르테 쿱,T,,,
,,,,,,,,,,
기아,포르테,포르테 해치백,기아,포르테,포르테 해치백,포르테 해치백,T,,,
,,,,,,,,,,
기아,스팅어,스팅어 마이스터,기아,스팅어,스팅어 마이스터,스팅어 마이스터,T,,,
,,,,,,,,,,
기아,스팅어,스팅어,기아,스팅어,스팅어,스팅어,T,,,
,,,,,,,,,,
기아,스토닉,스토닉,기아,스토닉,스토닉,스토닉,T,,,
,,,,,,,,,,
기아,로체,로체 이노베이션,기아,로체,로체 이노베이션,로체 이노베이션,T,,,
,,,,,,,,,,
기아,로체,로체 어드밴스,기아,로체,로체 어드밴스,로체 어드밴스,T,,,
,,,,,,,,,,
기아,로체,로체,기아,로체,로체,로체,T,,,
,,,,,,,,,,
기아,니로,더 뉴 니로,기아,니로,더 뉴 니로,더 뉴 니로,T,,,
,,,,,,,,,,
기아,니로,니로 EV,기아,니로,니로 EV,니로 EV,T,,,
,,,,,,,,,,
기아,니로,니로,기아,니로,니로,니로,T,,,
,,,,,,,,,,
기아,셀토스,셀토스,기아,셀토스,셀토스,셀토스,T,,,
,,,,,,,,,,
기아,K8,K8,기아,K8,K8,K8,T,,,
,,,,,,,,,,
기아,K8,K8 하이브리드,기아,K8,K8 하이브리드,K8 하이브리드,T,,,
,,,,,,,,,,
기아,프런티어,봉고프런티어,기아,봉고,봉고프론티어,K7 프리미어,F,봉고,봉고프론티어,
,,,,,,,,,,
기아,프런티어,와이드봉고,현대,봉고,와이드봉고,다이너스티,F,봉고,와이드봉고,
,,,,,,,,,,
기아,프런티어,프런티어,현대,봉고,봉고프론티어,프레스토,F,봉고,봉고프론티어,
,,,,,,,,,,
기아,쎄라토,뉴쎄라토,기아,쎄라토,뉴쎄라토,뉴쎄라토,T,,,
,,,,,,,,,,
기아,쎄라토,쎄라토,기아,쎄라토,쎄라토,쎄라토,T,,,
,,,,,,,,,,
기아,트럭(4.5톤이상),라이노,기아,기타,트럭,라비타,F,기아,기타,트럭
,,,,,,,,,,
기아,트럭(4.5톤이상),그랜토,기아,기타,트럭,그랜저,F,기아,기타,트럭
,,,,,,,,,,
기아,트럭(4.5톤이상),와이드복사,기아,기타,트럭,다이너스티,F,기아,기타,트럭
,,,,,,,,,,
기아,트럭(4.5톤이상),복사,기아,기타,트럭,베뉴,F,기아,기타,트럭
,,,,,,,,,,
기아,트럭(4.5톤이상),기아/아시아트럭,기아,기타,트럭,넥시아,F,기아,기타,트럭
,,,,,,,,,,
기아,트럭(4.5톤이상),국제트럭,기아,기타,트럭,젠트라,F,기아,기타,트럭
,,,,,,,,,,
기아,트럭(4.5톤이상),금강트럭,기아,기타,트럭,엑센트,F,기아,기타,트럭
,,,,,,,,,,
기아,트럭(4.5톤이상),동아트럭,기아,기타,트럭,피아트132,F,기아,기타,트럭
,,,,,,,,,,
기아,트럭(4.5톤이상),진도트럭,기아,기타,트럭,젠트라,F,기아,기타,트럭
,,,,,,,,,,
기아,트럭(4.5톤이상),한라이베코트랙터,기아,기타,트럭,하이베스타,F,기아,기타,트럭
,,,,,,,,,,
기아,트럭(4.5톤이상),한원트럭,기아,기타,트럭,싼타페,F,기아,기타,트럭
,,,,,,,,,,
기아,옵티마,옵티마리갈,기아,옵티마,옵티마 리갈,옵티마,F,옵티마 리갈,,
,,,,,,,,,,
기아,옵티마,옵티마,기아,옵티마,옵티마,옵티마,T,,,
,,,,,,,,,,
기아,레토나,레토나,기아,레토나,레토나,레토나,T,,,
,,,,,,,,,,
기아,레토나,레토나밴,기아,레토나,레토나,레토나,F,레토나,,
,,,,,,,,,,
기아,프레지오,프레지오,기아,프레지오,프레지오,프레지오,T,,,
,,,,,,,,,,
기아,세레스,세레스,기아,기타,트럭,셀토스,F,기아->기타->트럭,,
,,,,,,,,,,
기아,EV6,EV6,기아,EV6,EV6,EV6,T,,,
,,,,,,,,,,
기아,EV6,EV6 GT,기아,EV6,EV6,EV6,F,EV6,,
,,,,,,,,,,
기아,버스(26인이상),뉴그랜버드,기아,그랜버드,그랜버드,뉴 그랜저,F,그랜버드,,
,,,,,,,,,,
기아,버스(26인이상),그랜버드,기아,그랜버드,그랜버드,그랜저,F,그랜버드,,
,,,,,,,,,,
기아,버스(26인이상),기아/아시아버스,기아,기타,버스,트래버스,F,기아,기타,버스
,,,,,,,,,,
기아,버스(26인이상),콤비(26이상),기아,기타,버스,뉴그레이스,F,기아,기타,버스
,,,,,,,,,,
기아,버스(26인이상),AM928,기아,기타,버스,EQ900,F,기아,기타,버스
,,,,,,,,,,
기아,타우너,타우너,기아,타우너,타우너,타우너,T,,,
,,,,,,,,,,
기아,타우너,타우너 밴,기아,타우너,타우너,타우너,F,타우너,,
,,,,,,,,,,
기아,타우너,타우너트럭,기아,타우너,타우너,타우너,F,타우너,,
,,,,,,,,,,
기아,트럭(2.5~4.5톤),점보타이탄,기아,기타,트럭,스타렉스,F,기아,기타,트럭
,,,,,,,,,,
기아,트럭(2.5~4.5톤),타이탄,기아,기타,트럭,레이,F,기아,기타,트럭
,,,,,,,,,,
기아,트럭(2.5~4.5톤),파맥스,기아,기타,트럭,다마스,F,기아,기타,트럭
,,,,,,,,,,
기아,트럭(2.5~4.5톤),트레이드,기아,기타,트럭,그레이스,F,기아,기타,트럭
,,,,,,,,,,
기아,스펙트라,스펙트라,기아,스펙트라,스펙트라,스펙트라,T,,,
,,,,,,,,,,
기아,스펙트라,스펙트라윙,기아,스펙트라,스펙트라,스펙트라,F,스펙트라,,
,,,,,,,,,,
기아,엔터프라이즈,엔터프라이즈,기아,엔터프라이즈,엔터프라이즈,엔터프라이즈,T,,,
,,,,,,,,,,
기아,엑스트렉,엑스트렉,기아,엑스트렉,엑스트렉,에스페로,F,엑스트렉,,
,,,,,,,,,,
기아,포텐샤,뉴포텐샤,기아,포텐샤,뉴포텐샤,뉴포텐샤,T,,,
,,,,,,,,,,
기아,포텐샤,포텐샤,기아,포텐샤,포텐샤,포텐샤,T,,,
,,,,,,,,,,
기아,리오,리오SF,기아,리오,리오SF,리오,F,리오SF,,
,,,,,,,,,,
기아,리오,리오,기아,리오,리오,리오,T,,,
,,,,,,,,,,
기아,비스토,비스토,기아,비스토,비스토,비스토,T,,,
,,,,,,,,,,
기아,비스토,비스토밴,기아,비스토,비스토,비스토,F,비스토,,
,,,,,,,,,,
기아,엘란,엘란,기아,엘란,엘란,엘란,T,,,
,,,,,,,,,,
기아,캐피탈,캐피탈,기아,캐피탈,캐피탈,캐피탈,T,,,
,,,,,,,,,,
기아,크레도스,크레도스2,기아,크레도스,크레도스2,크레도스,F,크레도스2,,
,,,,,,,,,,
기아,크레도스,크레도스,기아,크레도스,크레도스,크레도스,T,,,
,,,,,,,,,,
기아,세피아,세피아2,기아,세피아,세피아2,세피아2,T,,,
,,,,,,,,,,
기아,세피아,세피아,기아,세피아,세피아,세피아,T,,,
,,,,,,,,,,
기아,아벨라,아벨라,기아,아벨라,아벨라,아벨라,T,,,
,,,,,,,,,,
기아,아벨라,아벨라 델타,기아,아벨라,아벨라 델타,아벨라,F,아벨라 델타,,
,,,,,,,,,,
기아,카스타,카스타,기아,카스타,카스타,카스타,T,,,
,,,,,,,,,,
기아,버스(16~25인),코스모스,기아,기타,버스,스타렉스,F,기아,기타,버스
,,,,,,,,,,
기아,버스(16~25인),파워콤비,기아,기타,버스,에쿠스,F,기아,기타,버스
,,,,,,,,,,
기아,버스(16~25인),콤비,기아,기타,버스,콜벳,F,기아,기타,버스
,,,,,,,,,,
한국GM,쉐보레 스파크,더 뉴 스파크,쉐보레(GM대우),스파크,더 뉴 스파크,더 뉴 스파크,T,,,
,,,,,,,,,,
한국GM,쉐보레 스파크,더 뉴 스파크 밴,쉐보레(GM대우),스파크,밴,더 뉴 스파크,F,밴,,
,,,,,,,,,,
한국GM,쉐보레 스파크,더 넥스트 스파크,쉐보레(GM대우),스파크,더 넥스트 스파크,더 넥스트 스파크,T,,,
,,,,,,,,,,
한국GM,쉐보레 스파크,쉐보레 스파크 밴,쉐보레(GM대우),스파크,스파크,더 뉴 스파크,F,스파크,,
,,,,,,,,,,
한국GM,쉐보레 스파크,쉐보레 스파크,쉐보레(GM대우),스파크,스파크,더 뉴 스파크,F,스파크,,
,,,,,,,,,,
한국GM,쉐보레 스파크,더 넥스트 스파크 밴,쉐보레(GM대우),스파크,더 넥스트 스파크,더 넥스트 스파크,F,더 넥스트 스파크,,
,,,,,,,,,,
한국GM,쉐보레 크루즈,올 뉴 크루즈,쉐보레(GM대우),크루즈,올 뉴 크루즈,올 뉴 크루즈,T,,,
,,,,,,,,,,
한국GM,쉐보레 크루즈,어메이징 뉴 크루즈,쉐보레(GM대우),크루즈,어메이징 뉴 크루즈,어메이징 뉴 크루즈,T,,,
,,,,,,,,,,
한국GM,쉐보레 크루즈,어메이징 뉴 크루즈5,쉐보레(GM대우),크루즈,어메이징 뉴 크루즈5,어메이징 뉴 크루즈5,T,,,
,,,,,,,,,,
한국GM,쉐보레 크루즈,쉐보레 크루즈,쉐보레(GM대우),크루즈,크루즈,맥스크루즈,F,크루즈,,
,,,,,,,,,,
한국GM,쉐보레 크루즈,쉐보레 크루즈5,쉐보레(GM대우),크루즈,크루즈5,맥스크루즈,F,크루즈5,,
,,,,,,,,,,
한국GM,쉐보레 말리부,더 뉴 말리부,쉐보레(GM대우),말리부,더 뉴 말리부,더 뉴 말리부,T,,,
,,,,,,,,,,
한국GM,쉐보레 말리부,더 뉴 말리부 하이브리드,쉐보레(GM대우),코나,더 뉴 말리부,더 뉴 코나 하이브리드,F,더 뉴 말리부,,
,,,,,,,,,,
한국GM,쉐보레 말리부,올 뉴 말리부,쉐보레(GM대우),말리부,올 뉴 말리부,올 뉴 말리부,T,,,
,,,,,,,,,,
한국GM,쉐보레 말리부,쉐보레 말리부,쉐보레(GM대우),말리부,말리부,올 뉴 말리부,F,말리부,,
,,,,,,,,,,
한국GM,쉐보레 올란도,쉐보레 올란도,쉐보레(GM대우),올란도,올란도,올란도,F,올란도,,
,,,,,,,,,,
한국GM,마티즈,마티즈 CREATIVE,쉐보레(GM대우),마티즈,마티즈 크리에이티브,마티즈 II,F,마티즈 크리에이티브,,
,,,,,,,,,,
한국GM,마티즈,마티즈 CREATIVE밴,쉐보레(GM대우),마티즈,마티즈 크리에이티브,마티즈 II,F,마티즈 크리에이티브,,
,,,,,,,,,,
한국GM,마티즈,마티즈 클래식,쉐보레(GM대우),마티즈,마티즈 클래식,마티즈 클래식,T,,,
,,,,,,,,,,
한국GM,마티즈,마티즈 클래식밴,쉐보레(GM대우),마티즈,마티즈 클래식,마티즈 클래식,F,마티즈 클래식,,
,,,,,,,,,,
한국GM,마티즈,올뉴마티즈,쉐보레(GM대우),마티즈,All New 마티즈,마티즈,F,All New 마티즈,,
,,,,,,,,,,
한국GM,마티즈,올뉴마티즈밴,쉐보레(GM대우),마티즈,All New 마티즈,마티즈,F,All New 마티즈,,
,,,,,,,,,,
한국GM,마티즈,마티즈2,쉐보레(GM대우),마티즈,마티즈2,마티즈,F,마티즈2,,
,,,,,,,,,,
한국GM,마티즈,마티즈2밴,쉐보레(GM대우),마티즈,마티즈2,마티즈 II,F,마티즈2,,
,,,,,,,,,,
한국GM,마티즈,마티즈,쉐보레(GM대우),마티즈,마티즈,마티즈,T,,,
,,,,,,,,,,
한국GM,마티즈,마티즈밴,쉐보레(GM대우),마티즈,마티즈,마티즈,F,마티즈,,
,,,,,,,,,,
한국GM,쉐보레 트랙스,더 뉴 트랙스,쉐보레(GM대우),트랙스,더 뉴 트랙스,더 뉴 트랙스,T,,,
,,,,,,,,,,
한국GM,쉐보레 트랙스,쉐보레 트랙스,쉐보레(GM대우),트랙스,트랙스,더 뉴 트랙스,F,트랙스,,
,,,,,,,,,,
한국GM,다마스,뉴 다마스 밴,쉐보레(GM대우),다마스,뉴 다마스,뉴 다마스,F,뉴 다마스,,
,,,,,,,,,,
한국GM,다마스,뉴 다마스,쉐보레(GM대우),다마스,뉴 다마스,뉴 다마스,T,,,
,,,,,,,,,,
한국GM,다마스,다마스2 밴,쉐보레(GM대우),다마스,다마스2,다마스 II,F,다마스2,,
,,,,,,,,,,
한국GM,다마스,다마스2,쉐보레(GM대우),다마스,다마스2,다마스,F,다마스2,,
,,,,,,,,,,
한국GM,다마스,다마스 밴,쉐보레(GM대우),다마스,다마스,다마스 II,F,다마스,,
,,,,,,,,,,
한국GM,다마스,다마스,쉐보레(GM대우),다마스,다마스,다마스,T,다마스,,
,,,,,,,,,,
한국GM,라세티,라세티,쉐보레(GM대우),라세티,라세티,라세티,T,,,
,,,,,,,,,,
한국GM,라세티,라세티 프리미어,쉐보레(GM대우),라세티,라세티 프리미어,라세티 프리미어,T,,,
,,,,,,,,,,
한국GM,라보,뉴 라보,쉐보레(GM대우),라보,뉴 라보,뉴 라보,T,,,
,,,,,,,,,,
한국GM,라보,라보,쉐보레(GM대우),라보,라보,라보,T,,,
,,,,,,,,,,
한국GM,윈스톰,윈스톰,쉐보레(GM대우),윈스톰,윈스톰,윈스톰,T,,,
,,,,,,,,,,
한국GM,윈스톰,윈스톰맥스,쉐보레(GM대우),윈스톰,윈스톰 맥스,윈스톰 맥스,T,,,
,,,,,,,,,,
한국GM,쉐보레 캡티바,신형 캡티바,쉐보레(GM대우),캡티바,캡티바,캡티바,F,캡티바,,
,,,,,,,,,,
한국GM,쉐보레 캡티바,쉐보레 캡티바,쉐보레(GM대우),캡티바,캡티바,캡티바,F,캡티바,,
,,,,,,,,,,
한국GM,알페온,알페온,쉐보레(GM대우),알페온,알페온,알페온,T,,,
,,,,,,,,,,
한국GM,쉐보레 아베오,더 뉴 아베오,쉐보레(GM대우),아베오,더 뉴 아베오,더 뉴 아반떼,F,더 뉴 아베오,,
,,,,,,,,,,
한국GM,쉐보레 아베오,쉐보레 아베오,쉐보레(GM대우),아베오,아베오,스타렉스,F,아베오,,
,,,,,,,,,,
한국GM,토스카,토스카,쉐보레(GM대우),토스카,토스카,토스카,T,,,
,,,,,,,,,,
한국GM,토스카,토스카 프리미엄6,쉐보레(GM대우),토스카,토스카 프리미엄6,토스카 프리미엄6,T,,,
,,,,,,,,,,
한국GM,쉐보레 임팔라,임팔라,쉐보레(GM대우),임팔라,임팔라,임팔라,T,,,
,,,,,,,,,,
한국GM,쉐보레 트레일블레이저,트레일블레이저,쉐보레(GM대우),트레일블레이저,트레일블레이저,트레일블레이저,T,,,
,,,,,,,,,,
한국GM,트럭(4.5톤이상),프리마,쉐보레(GM대우),기타,트럭,프린스,F,쉐보레(GM대우)->기타->트럭,,
,,,,,,,,,,
한국GM,트럭(4.5톤이상),노부스,쉐보레(GM대우),기타,트럭,칼로스,F,쉐보레(GM대우)->기타->트럭,,
,,,,,,,,,,
한국GM,트럭(4.5톤이상),대우트럭,쉐보레(GM대우),기타,트럭,엑센트,F,쉐보레(GM대우)->기타->트럭,,
,,,,,,,,,,
한국GM,쉐보레 콜로라도,리얼 뉴 콜로라도,쉐보레(GM대우),콜로라도,리얼 뉴 콜로라도,리얼 뉴 콜로라도,T,,,
,,,,,,,,,,
한국GM,쉐보레 콜로라도,콜로라도,쉐보레(GM대우),콜로라도,콜로라도,콜로라도,T,,,
,,,,,,,,,,
한국GM,젠트라,젠트라,쉐보레(GM대우),젠트라,젠트라,젠트라,T,,,
,,,,,,,,,,
한국GM,젠트라,젠트라X,쉐보레(GM대우),젠트라,젠트라 X,젠트라 X,T,,,
,,,,,,,,,,
한국GM,쉐보레 볼트,쉐보레 볼트 EUV,쉐보레(GM대우),볼트 EV,볼트 EUV,뉴 볼트 EV,F,볼트 EUV,,
,,,,,,,,,,
한국GM,쉐보레 볼트,쉐보레 볼트 EV,쉐보레(GM대우),볼트 EV,볼트 EV,뉴 볼트 EV,F,볼트 EV,,
,,,,,,,,,,
한국GM,쉐보레 볼트,쉐보레 볼트,쉐보레(GM대우),볼트,볼트(Volt),스타렉스,F,볼트(Volt),,
,,,,,,,,,,
한국GM,쉐보레 카마로,더 뉴 카마로,쉐보레(GM대우),카마로,더 뉴 카마로,더 뉴 카마로,T,,,
,,,,,,,,,,
한국GM,쉐보레 카마로,올 뉴 카마로,쉐보레(GM대우),카마로,올 뉴 카마로,올 뉴 카마로,T,,,
,,,,,,,,,,
한국GM,쉐보레 카마로,쉐보레 카마로,쉐보레(GM대우),카마로,카마로,올 뉴 카마로,F,카마로,,
,,,,,,,,,,
한국GM,쉐보레 이쿼녹스,이쿼녹스,쉐보레(GM대우),이쿼녹스,이쿼녹스,이쿼녹스,T,,,
,,,,,,,,,,
한국GM,대우버스,BH,쉐보레(GM대우),기타,버스,K3,F,쉐보레->기타->버스,,
,,,,,,,,,,
한국GM,대우버스,BF,쉐보레(GM대우),기타,버스,K3,F,쉐보레->기타->버스,,
,,,,,,,,,,
한국GM,대우버스,BS,쉐보레(GM대우),기타,버스,K3,F,쉐보레->기타->버스,,
,,,,,,,,,,
한국GM,대우버스,BM,쉐보레(GM대우),기타,버스,K3,F,쉐보레->기타->버스,,
,,,,,,,,,,
한국GM,대우버스,대우버스,쉐보레(GM대우),기타,버스,트래버스,F,쉐보레->기타->버스,,
,,,,,,,,,,
한국GM,대우버스,레스타,쉐보레(GM대우),기타,버스,록스타,F,쉐보레->기타->버스,,
,,,,,,,,,,
한국GM,쉐보레 트래버스,트래버스,쉐보레(GM대우),트래버스,트래버스,트래버스,T,,,
,,,,,,,,,,
한국GM,베리타스,베리타스,쉐보레(GM대우),베리타스,베리타스,베리타스,T,,,
,,,,,,,,,,
한국GM,아카디아,아카디아,쉐보레(GM대우),아카디아,아카디아,아카디아,T,,,
,,,,,,,,,,
한국GM,티코,티코,쉐보레(GM대우),티코,티코,티코,T,,,
,,,,,,,,,,
한국GM,매그너스,매그너스,쉐보레(GM대우),매그너스,매그너스,매그너스,T,,,
,,,,,,,,,,
한국GM,G2X,G2X,쉐보레(GM대우),G2X,G2X,G2X,T,,,
,,,,,,,,,,
한국GM,쉐보레 콜벳,콜벳,쉐보레(GM대우),콜벳,콜벳,콜벳,T,,,
,,,,,,,,,,
한국GM,레조,레조,쉐보레(GM대우),레조,레조,레조,T,,,
,,,,,,,,,,
한국GM,레조,뉴레조,쉐보레(GM대우),레조,레조,레조,F,레조,,
,,,,,,,,,,
한국GM,스테이츠맨,스테이츠맨,쉐보레(GM대우),스테이츠맨,스테이츠맨,스테이츠맨,T,,,
,,,,,,,,,,
한국GM,라노스,라노스,쉐보레(GM대우),라노스,라노스,라노스,T,,,
,,,,,,,,,,
한국GM,라노스,라노스2,쉐보레(GM대우),라노스,라노스2,라노스,F,라노스2,,
,,,,,,,,,,
한국GM,르망,르망,쉐보레(GM대우),르망,르망,르망,T,,,
,,,,,,,,,,
한국GM,브로엄,브로엄,쉐보레(GM대우),브로엄,브로엄,브로엄,T,,,
,,,,,,,,,,
르노삼성,SM5,SM5 노바,르노삼성,SM5,SM5 노바,SM5 노바,T,,,
,,,,,,,,,,
르노삼성,SM5,뉴SM5 플래티넘,르노삼성,SM5,뉴SM5 플래티넘,뉴SM5 플래티넘,T,,,
,,,,,,,,,,
르노삼성,SM5,뉴SM5(신형),르노삼성,SM5,뉴SM5(신형),뉴SM5(신형),T,,,
,,,,,,,,,,
르노삼성,SM5,SM5 뉴임프레션,르노삼성,SM5,SM5 뉴 임프레션,SM5 뉴 임프레션,T,,,
,,,,,,,,,,
르노삼성,SM5,뉴SM5,르노삼성,SM5,뉴SM5,뉴SM5,T,,,
,,,,,,,,,,
르노삼성,SM5,SM5,르노삼성,SM5,SM5,SM5,T,,,
,,,,,,,,,,
르노삼성,SM3,SM3 네오,르노삼성,SM3,SM3 네오,SM3 네오,T,,,
,,,,,,,,,,
르노삼성,SM3,SM3 Z.E.,르노삼성,SM3,SM3 Z.E.,SM3 Z.E.,T,,,
,,,,,,,,,,
르노삼성,SM3,뉴SM3,르노삼성,SM3,뉴SM3,뉴SM3,T,,,
,,,,,,,,,,
르노삼성,SM3,SM3 뉴제너레이션,르노삼성,SM3,SM3 뉴 제너레이션,SM3 뉴 제너레이션,T,,SM3 뉴제너레이션,SM3 뉴 제너레이션
,,,,,,,,,T,
르노삼성,SM3,SM3,르노삼성,SM3,SM3,SM3,T,,,
,,,,,,,,,,
르노삼성,SM7,ALL New SM7 노바,르노삼성,SM7,SM7 노바,All New SM7,F,SM7 노바,,
,,,,,,,,,,
르노삼성,SM7,All New SM7,르노삼성,SM7,All New SM7,All New SM7,T,,,
,,,,,,,,,,
르노삼성,SM7,SM7 뉴아트,르노삼성,SM7,SM7 New Art,SM7 노바,F,SM7 New Art,,
,,,,,,,,,,
